,0
호기,47169
한수원,45661
안전,44712
지역,31992
정부,31831
기술,28205
건설,27523
지진,27461
주민,26414
가동,25756
한국,25293
발생,24236
발전소,23665
계획,23512
고리,23404
사고,22715
발전,22295
산업,22056
사업,21941
에너지,21882
일본,21041
위원회,20287
문제,19954
월성,19353
사용,18016
전력,17564
운영,16947
시설,16601
미국,14990
관리,14846
국민,14825
통해,14781
협력,14732
경주,13998
규모,13969
부산,13761
국내,13691
연구,13554
우리,13368
자료,13313
원자로,13205
개발,13114
의원,13048
핵연료,13030
지원,12990
이후,12847
추진,12841
상황,12813
대해,12726
현재,12572
