,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,형태소의 비율,기사 숫자,발표 기관,발표 시기
0,0.07555971263498867,0.0,0.0816815363338588,0.014274807962760969,0.0,0.0,0.10197500840875011,0.061008218062490405,0.022990688537142624,0.02901054426442565,0.07250980913562678,0.20682044975430522,0.08674244077431532,0.0,0.23438973074586586,0.0007396629341269523,25,이데일리,2014-08
1,0.0,0.0,0.01272984957835832,0.07831555832863983,0.020541301647198133,0.013247472870780713,0.4428177279962643,0.1459891236162786,0.047126276761129446,0.018978574316232993,0.0,0.0259368442076851,0.12801698613511542,0.05678199267795198,0.0,9.966020059002189e-05,1,일다,2014-07
2,0.03705639503611075,0.0,0.0867934313831243,0.0,0.020121877804062195,0.5841399829448936,0.019692139164655207,0.01665924590104102,0.035039459791607004,0.021109178643250646,0.02656843695134377,0.03022294117566545,0.019623199423196246,0.051443053887035815,0.041960858593870685,0.00158836585242887,62,헤럴드경제,2014-12
3,0.04079753483633778,0.4599465783848482,0.0,0.0,0.0442474836315742,0.0,0.044192320777731844,0.0,0.03498593650975352,0.0,0.03741520960430633,0.1923987298745361,0.05733642401841711,0.0,0.07831719776263774,0.00012394714022960704,5,디지털타임스,2016-02
4,0.024000028620822508,0.0,0.2816457175486337,0.04514130944573452,0.0,0.02300682311593221,0.02396678715270842,0.05775063129982878,0.0,0.06184251836671206,0.27613162169859357,0.0,0.06235542494585906,0.09212017901250386,0.047161276171006725,6.431851601103933e-05,3,JTBC,2016-02
5,0.13546686434683358,0.03490032786769789,0.020860930626039255,0.1240512503292625,0.024986891746730525,0.02091339571940443,0.06470524594984046,0.044405886097296274,0.02213065077173664,0.051274782928780994,0.21828966896195443,0.04027381428827085,0.07667311604439811,0.012642333585097573,0.10842484073665655,0.001991361554310538,84,연합뉴스,2014-08
6,0.049586159252332736,0.04338063539377138,0.14007268476604665,0.0,0.07271130496141083,0.021762030248234865,0.0,0.0,0.08157062997842703,0.0,0.13269001590308774,0.0,0.08123684293486104,0.014080695927910924,0.345105724569667,4.4553972028480376e-05,2,머니S,2015-12
7,0.5458877846499866,0.0,0.12869188206247004,0.06493701286474957,0.0,0.0,0.09596611586538652,0.03441890881880575,0.010518381494429402,0.05105753909550915,0.04084937734541385,0.0,0.0,0.02664506545862868,0.0,6.448601214648475e-05,3,머니S,2016-06
8,0.0,0.0,0.011670706266524502,0.05790136428688514,0.062381096419891376,0.0,0.034778552961394135,0.1321044152693276,0.059738927837841425,0.020385683679186663,0.030220179597936162,0.17080682239506853,0.02243251658487694,0.053166167010601444,0.3328018523890366,0.00033901217814151985,10,동아일보,2016-08
9,0.0,0.08341777871873947,0.05064407609015558,0.031037367192345462,0.023941159019624878,0.05738154707706059,0.15120120048229208,0.019219117593652274,0.07030145233823398,0.017330465344493826,0.057534354265766294,0.2102855190567253,0.07191362427067373,0.0,0.14785147405026977,0.0004341499830745155,16,머니투데이,2015-08
10,0.015205287289927046,0.16040902741782223,0.143979941329436,0.0,0.04161776743768653,0.0,0.04359607036816236,0.061331053998030606,0.0989692467343691,0.05101504843559439,0.010643284488213084,0.3030273626952508,0.0,0.01967251328809317,0.04664871622280903,0.0002242773253614106,4,조선비즈,2016-07
11,0.0,0.0,0.0,0.16919542610044988,0.19347764794553982,0.0,0.0,0.09413559163734488,0.028690579982153495,0.20633534167653192,0.03319875661425035,0.0,0.0,0.0,0.2725258157694434,3.885910342333626e-05,8,매일신문,2016-11
12,0.019715525942419574,0.31604401340824256,0.0,0.0,0.030948187984155846,0.0797014092704458,0.16109966077252325,0.061966544309845766,0.015910612886217344,0.0,0.18183349530266107,0.07623664655402304,0.01668202462782015,0.0,0.024901974793877953,0.0004140504468210657,14,디지털타임스,2015-04
13,0.04769021375514408,0.0,0.0,0.1580554515759479,0.028139510290001703,0.053600319599258685,0.0,0.03995577722586078,0.0,0.10816090804625253,0.09101973175814218,0.3503289461066073,0.0,0.03757635245554787,0.07893253343321749,0.0002065227350041966,7,조선비즈,2014-03
14,0.0,0.0,0.0,0.0,0.0,0.9997255683134642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005286178034657295,9,산자부,2014-01
15,0.011040203790455954,0.0,0.02579252030489582,0.07396398920058246,0.011494644904268575,0.06229351386208426,0.0,0.17693120613293364,0.07598256159326221,0.07443232132377803,0.07935973451704599,0.011545422093347139,0.17449341098563784,0.061707264481660896,0.16090310374179667,0.0004013207405272142,13,서울신문,2014-03
16,0.0,0.08175352155224275,0.034168168485240465,0.0,0.062222058129935524,0.03270922421338513,0.11108082187989561,0.10623052975115016,0.1692256184971398,0.06236285470368377,0.0,0.16378986284214914,0.12296257172242503,0.0,0.035671945374277605,0.00038172369268010066,11,머니투데이,2015-05
17,0.3968309190436971,0.06098858948232138,0.09299201613359685,0.0,0.0169603874000782,0.1183090872619839,0.02507135484650628,0.020243470670964384,0.0,0.01192558312015991,0.05898000773937691,0.0755724511409103,0.024737406325234416,0.015390381658592514,0.07348734844973331,0.0013374566415316382,29,머니투데이,2015-02
18,0.0,0.08326586903884564,0.011105606497230542,0.012842189929054452,0.17475489961268859,0.02957906306627407,0.04402777954382824,0.1800627118041737,0.030417299428849187,0.09593955372146175,0.01958872677815513,0.10448357210821707,0.0535925282464258,0.06092643099080413,0.09083541648109336,0.0009480281266210486,26,서울경제,2016-11
